Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
912254,ICICI Bank Ltd.,ICICM58,ICICI Bank Ltd,Active,F ,10000.00,INE090A08SP8,Debentures and Bonds,,,,,
912463,Cholamandalam Investment and Finance Company Ltd,CHOLACCD,Cholamandalam Investment and Finance Company Ltd,Active,F ,100000.00,INE121A08PJ0,Debentures and Bonds,,,,,
912464,Samvardhana Motherson International Limited,SMILCCD,Samvardhana Motherson International Ltd,Active,F ,100000.00,INE775A08105,Debentures and Bonds,,,,,
929001,Pune Municipal Corporation,759PUNEM27,PUNE MUNI BOND-7.59%-20-6-27-P,Active,F ,1000000.00,INE807X08017,Debentures and Bonds,,,,,
929002,GREATER HYDERABAD MUNICIPAL CORPORATION,89GHMC28,GREATER HYDERABAD MUNICIPAL CORPORATION,Active,F ,1000000.00,INE477Z08014,Debentures and Bonds,,,,,
929003,GREATER HYDERABAD MUNICIPAL CORPORATION,938GHMC28,GREATER HYDERABAD MUNICIPAL CORPORATION,Active,F ,1000000.00,INE477Z08022,Debentures and Bonds,,,,,
929004,Greater Visakhapatnam Municipal Corporation,10GVMC28,Greater Visakhapatnam Municipal Corporation,Active,F ,750000.00,INE423G07051,Debentures and Bonds,,,,,
929008,Lucknow Municipal Corporation,85LMC26,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24033,Debentures and Bonds,,,,,
929009,Lucknow Municipal Corporation,85LMC27,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24041,Debentures and Bonds,,,,,
929010,Lucknow Municipal Corporation,85LMC28,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24058,Debentures and Bonds,,,,,
929011,Lucknow Municipal Corporation,85LMC29,Lucknow Municipal Corporation,Active,F ,142900.00,INE05OC24066,Debentures and Bonds,,,,,
929012,Lucknow Municipal Corporation,85LMC30,Lucknow Municipal Corporation,Active,F ,142600.00,INE05OC24074,Debentures and Bonds,,,,,
929014,Ghaziabad Nagar Nigam,810GNN26,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24022,Debentures and Bonds,,,,,
929015,Ghaziabad Nagar Nigam,810GNN27,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24030,Debentures and Bonds,,,,,
929016,Ghaziabad Nagar Nigam,810GNN28,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24048,Debentures and Bonds,,,,,
929017,Ghaziabad Nagar Nigam,810GNN29,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24055,Debentures and Bonds,,,,,
929018,Ghaziabad Nagar Nigam,810GNN30,Ghaziabad Nagar Nigam,Active,F ,142900.00,INE0GVF24063,Debentures and Bonds,,,,,
929019,Ghaziabad Nagar Nigam,810GNN31,Ghaziabad Nagar Nigam,Active,F ,142600.00,INE0GVF24071,Debentures and Bonds,,,,,
929020,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,815PCMC28,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE0P1K24010,Debentures and Bonds,,,,,
929021,AHMEDABAD MUNICIPAL CORPORATION,79AMC29,AHMEDABAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE117E08029,Debentures and Bonds,,,,,
929022,Vadodara Municipal Corporation,79VMC29,Vadodara Municipal Corporation,Active,F ,100000.00,INE0KDG08023,Debentures and Bonds,,,,,
929023,PRAYAGRAJ NAGAR NIGAM,807PNN29,PRAYAGRAJ NAGAR NIGAM,Active,F ,100000.00,INE1QL524016,Debentures and Bonds,,,,,
929024,PRAYAGRAJ NAGAR NIGAM,807PNN30,PRAYAGRAJ NAGAR NIGAM,Active,F ,100000.00,INE1QL524040,Debentures and Bonds,,,,,
929025,PRAYAGRAJ NAGAR NIGAM,807PNN31,PNN-8.07%-02-05-31-MB,Active,F ,100000.00,INE1QL524032,Debentures and Bonds,,,,,
929026,PRAYAGRAJ NAGAR NIGAM,807PNN32,PNN-8.07%-02-05-32-MB,Active,F ,100000.00,INE1QL524024,Debentures and Bonds,,,,,
929027,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,785PCMC29,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE0P1K24036,Debentures and Bonds,,,,,
929028,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,785PCMC30A,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Active,F ,100000.00,INE0P1K24028,Debentures and Bonds,,,,,
935508,Power Finance Corporation Ltd,727PFCL30,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07554,Debentures and Bonds,,,,,
935510,Power Finance Corporation Ltd,752PFCL30,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07562,Debentures and Bonds,,,,,
935512,Power Finance Corporation Ltd,735PFCL35,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07570,Debentures and Bonds,,,,,
935514,Power Finance Corporation Ltd,760PFCL35,Power Finance Corporation Ltd,Active,F ,1000.00,INE134E07588,Debentures and Bonds,,,,,
935542,REC LIMITED,709REC30,REC Ltd,Active,F ,1000.00,INE020B07JR0,Debentures and Bonds,,,,,
935544,REC LIMITED,734REC30,REC Ltd,Active,F ,1000.00,INE020B07JS8,Debentures and Bonds,,,,,
935546,REC LIMITED,718REC35,REC Ltd,Active,F ,1000.00,INE020B07JT6,Debentures and Bonds,,,,,
935548,REC LIMITED,743REC35,REC Ltd,Active,F ,1000.00,INE020B07JU4,Debentures and Bonds,,,,,
935568,Indian Railway Finance Corporation,728IRFC30,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07801,Debentures and Bonds,,,,,
935570,Indian Railway Finance Corporation,725IRFC35,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07819,Debentures and Bonds,,,,,
935574,Indian Railway Finance Corporation,753IRFC30,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07835,Debentures and Bonds,,,,,
935576,Indian Railway Finance Corporation,750IRFC35,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07843,Debentures and Bonds,,,,,
935582,National Highways Authority Of India,735NHAI31,National Highways Authority Of India,Active,F ,1000.00,INE906B07EI0,Debentures and Bonds,,,,,
935584,National Highways Authority Of India,76NHAI31,National Highways Authority Of India,Active,F ,1000.00,INE906B07EJ8,Debentures and Bonds,,,,,
935612,Indian Renewable Energy Development Agency Limited,749IREDA31,Indian Renewable Energy Development Agency Ltd,Active,F ,1000.00,INE202E07195,Debentures and Bonds,,,,,
935614,Indian Renewable Energy Development Agency Limited,743IREDA36,Indian Renewable Energy Development Agency Ltd,Active,F ,1000.00,INE202E07203,Debentures and Bonds,,,,,
935618,Indian Renewable Energy Development Agency Limited,774IREDA31,Indian Renewable Energy Development Agency Ltd,Active,F ,1000.00,INE202E07229,Debentures and Bonds,,,,,
935620,Indian Renewable Energy Development Agency Limited,768IREDA36,Indian Renewable Energy Development Agency Ltd,Active,F ,1000.00,INE202E07237,Debentures and Bonds,,,,,
935638,Housing &Urban Development Corporation Ltd.,739HUDC31,Housing & Urban Development Corporation Ltd,Active,F ,1000.00,INE031A07AM9,Debentures and Bonds,,,,,
935642,Housing &Urban Development Corporation Ltd.,764HUDCO31,Housing & Urban Development Corporation Ltd,Active,F ,1000.00,INE031A07AO5,Debentures and Bonds,,,,,
935664,National Highways Authority Of India,739NHAI31A,National Highways Authority Of India,Active,F ,1000.00,INE906B07EO8,Debentures and Bonds,,,,,
935666,National Highways Authority Of India,769NHAI31,National Highways Authority Of India,Active,F ,1000.00,INE906B07EP5,Debentures and Bonds,,,,,
935670,Housing &Urban Development Corporation Ltd.,739HUDCO31,Housing & Urban Development Corporation Ltd,Active,F ,1000.00,INE031A07AR8,Debentures and Bonds,,,,,
935674,Housing &Urban Development Corporation Ltd.,769HUDCO31,Housing & Urban Development Corporation Ltd,Active,F ,1000.00,INE031A07AT4,Debentures and Bonds,,,,,
935678,Indian Railway Finance Corporation,735IRFC31,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07884,Debentures and Bonds,,,,,
935682,Indian Railway Finance Corporation,764IRFC31,Indian Railway Finance Corporation Ltd,Active,F ,1000.00,INE053F07900,Debentures and Bonds,,,,,
935686,National Bank for Agriculture and Rural Development,735NABAR31,National Bank for Agriculture and Rural Development,Active,F ,1000.00,INE261F07057,Debentures and Bonds,,,,,
935690,National Bank for Agriculture and Rural Development,764NABAR31,National Bank for Agriculture and Rural Development,Active,F ,1000.00,INE261F07032,Debentures and Bonds,,,,,
935738,Mahindra & Mahindra Financial Services Limited,853MMFSL26,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08LT8,Debentures and Bonds,,,,,
935740,Mahindra & Mahindra Financial Services Limited,872MMFSL26,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08LU6,Debentures and Bonds,,,,,
935750,Mahindra & Mahindra Financial Services Limited,88MMFSL26,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08LZ5,Debentures and Bonds,,,,,
935752,Mahindra & Mahindra Financial Services Limited,9MMFSL26,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MA6,Debentures and Bonds,,,,,
935758,Mahindra & Mahindra Financial Services Limited,MMFSL26,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MF5,Debentures and Bonds,,,,,
935760,Mahindra & Mahindra Financial Services Limited,MMFSL26A,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MG3,Debentures and Bonds,,,,,
935786,Nido Home Finance Limited,957NIDO26,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07210,Debentures and Bonds,,,,,
935788,Nido Home Finance Limited,10NIDO26,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07228,Debentures and Bonds,,,,,
935790,Nido Home Finance Limited,NIDOZC26,Nido Home Finance Ltd,Active,F ,1000.00,INE530L07236,Debentures and Bonds,,,,,
935856,Sammaan Capital Limited,865SCL26,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07GJ7,Debentures and Bonds,,,,,
935858,Sammaan Capital Limited,885SCL26,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07GK5,Debentures and Bonds,,,,,
935860,Sammaan Capital Limited,9SCL26BA,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07GL3,Debentures and Bonds,,,,,
935862,Sammaan Capital Limited,SCLZC26,Sammaan Capital Ltd,Active,F ,1000.00,INE148I07GN9,Debentures and Bonds,,,,,
935864,Sammaan Capital Limited,879SCL26,Sammaan Capital Ltd,Active,F ,1000.00,INE148I08231,Debentures and Bonds,,,,,
935866,Sammaan Capital Limited,9SCL26B,Sammaan Capital Ltd,Active,F ,1000.00,INE148I08249,Debentures and Bonds,,,,,
935868,Sammaan Capital Limited,915SCL26,Sammaan Capital Ltd,Active,F ,1000.00,INE148I08256,Debentures and Bonds,,,,,
935870,Sammaan Capital Limited,SCLZC26A,Sammaan Capital Ltd,Active,F ,1000.00,INE148I08272,Debentures and Bonds,,,,,
936042,Mahindra & Mahindra Financial Services Limited,790MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MJ7,Debentures and Bonds,,,,,
936044,Mahindra & Mahindra Financial Services Limited,800MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MK5,Debentures and Bonds,,,,,
936046,Mahindra & Mahindra Financial Services Limited,795MMFSL32,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08ML3,Debentures and Bonds,,,,,
936048,Mahindra & Mahindra Financial Services Limited,805MMFSL32,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MM1,Debentures and Bonds,,,,,
936130,ECL Finance Limited,888ECL28,Edelweiss Retail Finance Ltd,Active,F ,1000.00,INE528S07110,Debentures and Bonds,,,,,
936132,ECL Finance Limited,925ECL28,Edelweiss Retail Finance Ltd,Active,F ,1000.00,INE528S07128,Debentures and Bonds,,,,,
936224,JM Financial Credit Solutions Limited,975JMFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07622,Debentures and Bonds,,,,,
936226,JM Financial Credit Solutions Limited,934JMFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07630,Debentures and Bonds,,,,,
936230,Shriram Finance Limited,903SFL28,Shriram Finance Ltd,Active,F ,1000.00,INE721A07NU1,Debentures and Bonds,,,,,
936236,Shriram Finance Limited,94SFL28,Shriram Finance Ltd,Active,F ,1000.00,INE721A07NX5,Debentures and Bonds,,,,,
936252,ECL Finance Limited,943ECL28,ECL Finance Ltd,Active,F ,1000.00,INE804I078Y8,Debentures and Bonds,,,,,
936254,ECL Finance Limited,985ECL28,ECL Finance Ltd,Active,F ,1000.00,INE804I079Y6,Debentures and Bonds,,,,,
936276,Sammaan Finserve Limited,931SFIL26A,Sammaan Finserve Ltd,Active,F ,1000.00,INE244L07150,Debentures and Bonds,,,,,
936278,Sammaan Finserve Limited,96SFIL24A,Indiabulls Commercial Credit Ltd,Active,F ,1000.00,INE244L07168,Debentures and Bonds,,,,,
936280,Sammaan Finserve Limited,97SFIL26A,Indiabulls Commercial Credit Ltd,Active,F ,1000.00,INE244L07176,Debentures and Bonds,,,,,
936282,Sammaan Finserve Limited,92SFIL28,Indiabulls Commercial Credit Ltd,Active,F ,1000.00,INE244L07184,Debentures and Bonds,,,,,
936292,Tata Capital Limited,9TCAP28,Tata Capital Ltd,Active,F ,1000.00,INE306N08284,Debentures and Bonds,,,,,
936294,Tata Capital Limited,910TCAP28,Tata Capital Ltd,Active,F ,1000.00,INE306N08292,Debentures and Bonds,,,,,
936320,Aadhar Housing Finance Limited,935AHFL28,Aadhar Housing Finance Ltd,Active,F ,1000.00,INE538L07528,Debentures and Bonds,,,,,
936322,Aadhar Housing Finance Limited,975AHFL28,Aadhar Housing Finance Ltd,Active,F ,1000.00,INE538L07536,Debentures and Bonds,,,,,
936326,Shriram Finance Limited,930SFL28,Shriram Finance Ltd,Active,F ,1000.00,INE721A07OC7,Debentures and Bonds,,,,,
936332,Shriram Finance Limited,97SFL28,Shriram Finance Ltd,Active,F ,1000.00,INE721A07OF0,Debentures and Bonds,,,,,
936384,JM Financial Credit Solutions Limited,1025JFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07689,Debentures and Bonds,,,,,
936386,JM Financial Credit Solutions Limited,981JMFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07697,Debentures and Bonds,,,,,
936398,ECL Finance Limited,1015ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7014,Debentures and Bonds,,,,,
936400,ECL Finance Limited,1060ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7022,Debentures and Bonds,,,,,
936410,Mahindra & Mahindra Financial Services Limited,92MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D07SV1,Debentures and Bonds,,,,,
936412,Mahindra & Mahindra Financial Services Limited,93MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D07SW9,Debentures and Bonds,,,,,
